Building,Latitude,Longitude
Dwinelle ,37.8707,-122.26072000000000
Social Sciences ,37.87011,-122.25793
Wheeler,37.87129,-122.25942000000000
Etcheverry ,37.875680000000000,-122.25928
Cory ,37.87505,-122.25784000000000
Physics ,37.87262,-122.25714000000000
Hearst Annex,37.86943,-122.25818000000000
VLSB ,37.87147,-122.26252
Evans,37.87362,-122.25768000000000
Haviland ,37.87382,-122.26112000000000
Morgan ,37.873260000000000,-122.26423
Mulford ,37.872690000000000,-122.26429000000000
Anthropology and Art Practice,37.86983,-122.2552
Stanley ,37.87402,-122.2561
Barker ,37.87395,-122.26544000000000
Latimer ,37.87311,-122.25591000000000
North Gate,37.87488,-122.25945
Pimentel,37.87342,-122.25603000000000
Tan,37.8731,-122.25646
McCone,37.87412,-122.25971000000000
Li Ka Shing,37.87296,-122.26544000000000
Lewis ,37.87308,-122.25524000000000
Wurster ,37.87057,-122.2549
Hearst Mining,37.87448,-122.25729
Goldman School of Public Policy,37.87567,-122.25798
Giannini ,37.873510000000000,-122.26231000000000
Genetics and Plant Biology ,37.87343,-122.2647
Donner,37.8746,-122.25647
Davis,37.874520000000000,-122.25828
Birge,37.87222,-122.25724
Hildebrand ,37.872660000000000,-122.25571000000000
BAMPFA,37.87095,-122.2664
Haas,37.871560000000000,-122.25365
Cheit ,37.8717,-122.25425
Berkeley Way West,37.87355,-122.26793
Weill,37.87142,-122.26327000000000
Bechtel,37.80648,-122.26363
Hearst Gym,37.86959,-122.25661000000000
Sutardja Dai,37.874869,-122.258347
Moffitt Library,37.8725,-122.2608